id,title,original_title,overview,release_date,vote_average,vote_count,popularity,poster_path,backdrop_path,original_language,genre_ids
1711051,100 Years,100 Years,The Movie you will never see.,2099-12-31,0.0,0,0.371,,,en,
1742644,American Static,American Static,"Reality is never quite where it was a moment ago. Beauty and terror exist side by side, and every passing image feels like a message from somewhere just beyond our understanding.",2047-05-11,0.0,0,0.4161,/upsnOUeG7EWaetokiayb1GFVbAv.jpg,/2r5XvKNB010TxwmfosiSkGlcdxJ.jpg,en,"878,53"
1742657,September,September,"A chance encounter pulls a drifting man toward a feeling so overwhelming it begins to consume every part of his life. As sleepless nights blur into neon-lit silence, he's drawn closer to something beautiful, terrifying, and impossible to escape.",2045-07-08,0.0,0,0.3683,/uTSvhpv9xQ8oO1vArj3DyP0XtEj.jpg,/qdMYIaBGY3JPIZDO82Esokjktl2.jpg,en,"27,80"
1370697,Light Years,Light Years,She was walking with Jack. He was talking. Then she remembered something and she stopped.,2044-10-01,0.0,0,1.0212,/mHQLlTNdU0phUImKzM77icXCovL.jpg,,en,
1742658,Harvest,Harvest,"The deeper autumn settles, the darker the woods become. Somewhere beyond the trees, something impossibly old wanders with the dying season, forever bound to an insatiable hunger.",2043-10-03,0.0,0,0.323,/60QaST9ku9FwgFvwujim0nYNVtF.jpg,/kaAZHVPfjALvthbdpC9GDiZ5VeW.jpg,en,"27,14"
1742647,Mudflower,Mudflower,Tormented Russian soldiers on the Eastern Front in WWI abandon their post.,2038-12-04,0.0,0,0.4792,/posgCLYz4JWQH3OpfOxQ8So0B8Y.jpg,/4upNITvoxApb0oEUbW7TIzwU7BT.jpg,en,"10752,27,18"
1742634,Vestige,Vestige,"A slow-burning descent into greed, loyalty, and the quiet violence of becoming untouchable. Some things outlive the people who built them.",2036-09-06,0.0,0,0.3339,/vIrBnBsBbSWhSytFOQ5poG6lLeC.jpg,/ihCBoS4bjS4yRDTZbUWGap7XsRi.jpg,en,"80,18"
1742626,Lament,Lament,"As summer settles over a quiet lakeside town, a psychology professor, a model, a police officer, and a young family become entangled in a growing atmosphere of paranoia, grief, and uncertainty.",2034-05-12,0.0,0,0.3175,/2IKSPWFOwwa3od7dhrNzJ2BXQ35.jpg,/zYePyoLO6HzAnqjDcsl5fW0DRU.jpg,en,"18,27"
393209,Avatar 5,Avatar 5,The fifth installment of the franchise. Plot TBA.,2031-12-17,0.0,0,2.5611,/rtmmvqkIC5zDMEd638Es2woxbz8.jpg,,en,"12,878,28"
1742641,The Vaster,The Vaster,"Long before the maps were drawn, there were places people learned not to name. When a band of travelers disappears into the Colorado wilderness, they find themselves in the path of something the land has never forgotten.",2031-09-26,0.0,0,0.4262,/cO3Yv6znaQIPV3C6cQEVAuWJ0wu.jpg,/AlPMkHD93tU4naSMbikqEzQg1i.jpg,en,27
1317715,Quando a Luz Se Apaga,Quando a Luz Se Apaga,,2031-01-01,0.0,0,1.9585,/7gM6x17yC8FvzcHggFkSUKCEjna.jpg,,pt,99
1662961,No volveremos,No volveremos,,2030-09-01,0.0,0,0.6241,/j7dDDyFXs36CkUBv78S0QsPlZGF.jpg,/t8q7xTjuU7tcFNU9hsA18LjkgRF.jpg,es,18
216527,Avatar 4,Avatar 4,The fourth installment of the franchise. Plot TBA.,2029-12-19,0.0,0,5.1246,/qzMYKnT4MG1d0gnhwytr4cKhUvS.jpg,,en,"878,12,28"
1742654,Act of Violence,Act of Violence,"One irreversible decision fractures the lives of everyone it touches, exposing the thin line between justice, revenge, and survival.",2029-12-01,0.0,0,0.4688,/zm4E8yeMaRGpN85RZYGm4KdkZkW.jpg,/uJ3LRgv4StpPbs0vRVAObbJSWBW.jpg,en,"80,27"
1451567,Coco 2,Coco 2,"Three years after Miguel Rivera risked everything to bring harmony back to his family, the teenager has been filling the streets of Santa Cecilia with his music. But on the eve of an important audition, Miguel's dreams are threatened when Ernesto de la Cruz - the fallen idol who won't stay forgotten - returns for a vengeful encore. Miguel travels back to the Land of the Dead to reclaim the one thing he cannot live without, and learns that this time it will take more than a song to save what matters most.",2029-11-21,0.0,0,3.8138,/7YiB8tOQcY8ApdKkCnjQL5jGkIP.jpg,/itSaAIiEUt7PsGHVJe3zQX2AgVW.jpg,en,"16,12,10402,14,10751"
1463621,Welts,Welts,A group of troubled youths plot to murder the sadistic bully who has been ruining their lives.,2029-11-16,0.0,0,1.2516,,,en,"18,53"
1732833,The Scuba Diving Frenchman,The Scuba Diving Frenchman,"Chaz Townsend, an American man in his late 20s, is convinced he is a 42 year old Frenchman named Jean Perrie who loves scuba diving.",2029-07-27,0.0,0,0.3785,/mqvQqIsEHDdQf37auEzRLNqbixm.jpg,,en,"35,18"
1646447,Happy Mothercore,Happy Mothercore,,2029-05-24,0.0,0,0.4294,/awGU3LhjaJT81o4pCAbwsAQogLo.jpg,/mbgWKCketlb04hToXmKc9qa2uyZ.jpg,fr,"16,878,10751,28,9648"
1731464,12 Months,12 месяцев,,2029-01-01,0.0,0,2.0837,/2amv6m9rFZWOPqqXkYdDa7znw1r.jpg,,ru,12
1731466,Treasure Island,Остров Сокровищ,,2029-01-01,0.0,0,0.3871,,,ru,12
1746394,The Little Mermaid,Русалочка,,2029-01-01,0.0,0,0.4121,,,ru,"10751,14"
1625852,A Sleigh of One's Own,A Sleigh of One's Own,One woman's journey of self-discovery and coming to terms with her husband's sexuality. That woman? Mrs. Claus.,2028-12-25,0.0,0,0.6822,/z0lBbD64WQ0rLPrzGZLOgVPjqgs.jpg,,en,
1468313,Untitled Sonic Universe Film,Untitled Sonic Universe Film,A film set in the live-action Sonic universe. Plot TBA.,2028-12-22,0.0,0,0.4628,,,en,"878,28"
1386618,Black Panther 3,Black Panther 3,"T'Challa's son, T'Challa, comes of age with eyes on the crown of Wakanda.",2028-12-13,0.0,0,3.959,/zJc9fYZxgq4yzI0Oru2e1Cf3a3V.jpg,/5b8t06v1cTd9H5IgWs6gj6987JM.jpg,en,"878,28,12"
1746788,Pleasant,Pleasant,"College student Henry must navigate the bizarre nightlife of Mount Pleasant, Michigan to get home to his girlfriend.",2028-12-01,0.0,0,4.069,/rUem3yPDKsVn3ulnE6Qrb1l1oql.jpg,,en,"35,53,12,18"
1211845,Safe Unless You Pull The Trigger,Tetiği Çekmedikçe Emniyetli,"A lonely and ruthless hit man falls in love with the woman he is assigned to kill, but she is about to commit suicide.",2028-12-01,0.0,0,0.7491,/6nUfVSFKYeDSZWy3ZmtQz60GRY4.jpg,,tr,"10749,53,80"
1749880,Clay,Clay,"When Flip is assigned to mentor a living ball of clay named Mushi, he runs away in the middle of the night, only to find that Mushi is inescapable and pure chaos. Now out in the wild, Flip must keep Mushi alive on a journey through a fantastical forest.",2028-11-22,0.0,0,1.0047,/wn0a5ODRA0wO4QPivspts0gDG5w.jpg,/bS7fGPrTyxDWojvv0Np1YWjDCoC.jpg,en,"16,14,10751,35"
1357938,Jehanne d'Arc,Jehanne d'Arc,"An epic story about Joan of Arc, the young French peasant who believed God had sent her to lead an army to save her country during the Hundred Years War.",2028-11-22,0.0,0,0.8114,/2yChN5ssxxUj0tj9e6Js4PDMwGB.jpg,,en,"36,18"
1545226,Untitled hybrid live-action Teenage Mutant Ninja Turtles,Untitled hybrid live-action Teenage Mutant Ninja Turtles,A live Action/CGI hybrid film. Plot TBA.,2028-11-16,0.0,0,0.6907,/np6pwnasv7gwCM3qcODwfO6pKIv.jpg,,en,"878,28"
1639029,Manson's War,Manson's War,Beyond the flatland's where the Spahn Ranch once stood a gathering of Charles Manson devotees find refuge in the woods. When a member of their group is brutally attacked they are forced to take revenge.,2028-11-12,0.0,0,1.0428,/5zFhbzNdWlTL7vcz2rr6w5wwaEU.jpg,,en,53
1703965,Light Undying,Light Undying,"1797, and flashbacks of a story before it. How far can a lie go until time converges with time? How deep can truth be clouded in delirium, in sorrow, in gold? I tell ya, the details are important; pay attention to the timestamps.",2028-11-07,0.0,0,0.7885,/tBSLJsTRZbdFUohSK8sIceIU7HU.jpg,/wSu74FkKHLrWWNFyCJsLa4akt2t.jpg,en,"18,9648,36,10749"
1715249,Untitled Duffer Brothers Film,Untitled Duffer Brothers Film,An event film from the creators of Stranger Things. Plot TBA.,2028-11-02,0.0,0,0.3531,,,en,
1138526,The Lunar Chronicles,The Lunar Chronicles,"Once upon a time, in the future, Grimm’s heroines and heroes join forces in an epic sci-fi fairy tale that challenges everything we think we know about their stories to reframe how we face an uncertain future with hope.",2028-11-02,0.0,0,1.1722,/uHetNUxDujMrd9C4OYkmN2WidNM.jpg,/aAU7G5R7gLiWb1oTvLNLkSP9pkR.jpg,en,"16,14,878"
1732615,Consumption,Consumption,A young man wonders into a middle aged women's home after watching her through her basement window.,2028-10-31,0.0,0,0.3239,/49nHHlVFXuyeSxEeBXDCcQNrqvf.jpg,,en,"27,35"
1225335,bodybags,bodybags,"A feature adaptation and expansion of the story in ""bodybag"" (2024).",2028-10-27,0.0,0,1.0005,,,en,27
1608956,Lesai: The Movie,Lesai: The Movie,"After the death of his parents, lesai is apart of a project that ended of going wrong, but will Lesai Justin and ivailo stop this new villain before it too late?",2028-10-27,0.0,0,0.3429,,,en,
980571,Fractured Justice,Fractured Justice,"To save the woman he loves from a human trafficking auction, a former criminal hitman must return to the violent life he deserted and dismantle the empire he once served.",2028-10-20,0.0,0,0.4771,/52UO7Bag667eCH4nDoQxmcCwHat.jpg,/lfJDMhBgrLR1RkEcmZtSQ95aQRl.jpg,en,"80,53"
1411095,Doosara Mahayudh,दूसरा महायुद्ध,The eleventh installment in the Maddock Supernatural Cinematic Universe. Plot TBA.,2028-10-18,0.0,0,0.5064,/3eTCJq3M5KKnnAW3Cwvy1h9Ln4I.jpg,,hi,"28,35,27"
1719306,Freddy the 13th,Freddy the 13th,A family vacation turns into a nightmare when fun Uncle Freddy accidentally kills the Boogeyman and takes on his powers.,2028-10-13,0.0,0,0.5371,/byfiFcAqop3h6T0P0klI2JLsUa2.jpg,,en,"16,35,27"
1653067,The Young Justice,The Young Justice,"After the Justice League vanishes into a war in space, The Young Justice steps up to investigate a series of brutal murders. As the team balances growing personal struggles with the responsibilities of saving the world, they find themselves targeted by a mysterious and deadly mastermind.",2028-10-13,0.0,0,0.8194,/oHuw4ANN7nmVv3TIMPextHnzXoS.jpg,,en,"28,9648,27,14,18"
1728600,Mr. Smith,Mr. Smith,"After developing a dark obsession with his teenage daughter's classmate, a history teacher attempts to get closer to her by manipulating those around them. Driven by delusion, he recklessly destroys his own family by invading her life, refusing to see the horror he is inflicting, forcing the girl's father to take matters into his own hands.",2028-10-08,0.0,0,0.3786,/8VnXW2WkxvYqGd5miVOqR7RzrB7.jpg,,en,"53,18"
1626020,Halmeoni,Halmeoni,"In 2060, after decades of heat waves and water shortages, the government places the elderly in air-conditioned facilities intended to protect them from the heat, but where access to water becomes a means of control.",2028-09-16,0.0,0,1.1682,,,fr,18
1529266,Gladys,Gladys,"Prequel to the 2025 film Weapons, telling the backstory of the parasitic witch Aunt Gladys. Plot details TBA.",2028-09-07,0.0,0,1.23,,,en,"27,9648"
1111197,Thota Kovi,Thota Kovi,A witty crime-drama set in the western ghats of Karnataka.,2028-09-01,0.0,0,0.4454,/2Y2lb1vAA2accn5sK3E87rflnpg.jpg,,kn,"80,18,35"
1525218,Narco Shark 3,Narco Shark 3,"The inner worlds are in chaos, reality is collapsing and somehow... Hitler has returned. Now, only an extremely macho and emotionally unavailable hero can save us!",2028-08-18,0.0,0,0.4962,/aD3fm1iwVJjv2Uq1OnH2KKdQEDi.jpg,,en,"28,27,35"
1536556,Grave Echos,Grave Echos,A Direct Sequel to Grave Mistakes...,2028-08-17,0.0,0,0.3803,/bCfw1weZpSKC3fDzbUvo5Cev0Qo.jpg,,en,"27,9648"
1411093,Pehla Mahayudh,पहला महायुद्ध,The tenth installment in the Maddock Supernatural Cinematic Universe. Plot TBA.,2028-08-11,0.0,0,0.7355,/bmxKmw2u7W6zm2eVfuc8wtk6BKb.jpg,,hi,"27,35,28"
1526262,Kameny se valí do Prahy,Kameny se valí do Prahy,,2028-08-10,0.0,0,0.3329,,,cs,
1738010,Ghost Rider,Ghost Rider,A film set in the Marvel Cinematic Universe (MCU) based on the Marvel Comics character of the same name. Plot TBA.,2028-07-28,0.0,0,4.8727,/zgC1zo3lyujoEiIMnUrHltvPmZg.jpg,/8ZuU1bCXvqcHdFIIiJAtkGRPw1j.jpg,en,"14,28"
615127,Hello Kitty,Hello Kitty,An animated feature film based on the character. Plot TBA.,2028-07-20,0.0,0,2.1819,/jV4vQ8M3BN8XzDXOfMVwMrVJ5x1.jpg,/yz0hYeQDhcPb4IQwd7PiNSfjerF.jpg,en,16
1659924,PAYNEKILLER,PAYNEKILLER,"Years after the murder of his wife, retired detective Max Payne is pulled back into a case he never truly left behind. When a series of new killings begins to mirror the past, what once seemed like a closed investigation starts to reveal cracks, pointing toward something that was long hidden. As Max investigates, he finds himself stepping outside the law again, uncovering a big secret regarding his own tragedy—while a mysterious individual moves in and out of his path, making it harder to tell who can be trusted.",2028-07-12,0.0,0,0.4031,/iMT2CqQHbMAij12YBw83qcYdVv6.jpg,/zvibeGzFv7RMBLoqTT6ITGJMH4U.jpg,en,"80,28"
1619712,Cast in Blue,Cast in Blue,,2028-07-12,0.0,0,0.3667,,,en,
1684156,Fingertips: Reborn,Fingertips: Reborn,Reimagining the story of the 2025 short film Fingertips—revealing what was never seen… and never told.,2028-07-07,0.0,0,0.8754,/r5MxcXCjZpX2LrgqCxurpEMaqDj.jpg,,en,"27,53,18"
1597817,Headout,Headout,"In a deeply religious Italian town, an arranged marriage seals a teenager's fate.",2028-07-07,0.0,0,0.2919,/jwitA7i6EfsM4geFIaoDEerx05M.jpg,,it,18
1729752,Tenchi Galaxy,Tenchi Galaxy,"Many years ago, Tenchi Muyo! director Hiroshi Negishi wrote a draft for a would-be sequel to his beloved TV series. It has never seen the light of day...until now. Tenchi Galaxy follows the Tenchi gang as they travel to the planet of the space pirates, Mikuni, in search of an artifact that was stolen from Jurai. In order to get it back, they must face Niimi, the queen of the space pirates. What dangers await them? What connection does Niimi have to Ryoko? And whose side is Nagi on?",2028-07-01,0.0,0,0.747,/66BT4cu3mSUojCcYQDe151H0IZI.jpg,,en,"28,16,35,14,10749"
1364797,Dynamic Duo,Dynamic Duo,Follow the early days of Dick Grayson and Jason Todd and explore how their friendship becomes tested by their diverging ideas for what their future should be.,2028-06-29,0.0,0,2.6126,/byZZQsE933kaBCq6i2yGQnJF6TN.jpg,/3HJtQ5Z04d1Gx4UQBPSOTgXsfwL.jpg,en,"16,28,12,80"
1540305,Call of Duty,Call of Duty,Based on the Modern Warfare universe of the video game series. Plot TBA.,2028-06-28,0.0,0,0.7883,/egCSujwhXCKYjRo4IAhWFEKXDB.jpg,,en,28
1110132,Donkey,Donkey,Said to be the origin of how Donkey became Donkey. Plot TBA.,2028-06-28,0.0,0,1.0013,/fvsSEJXkUV2tIh6kuCVk2icfFYw.jpg,,en,"16,35,10751,14"
1519227,Captain Zero: The Movie,Captain Zero: The Movie,"Haitian-American teenager Xerxes Hughes struggles to balance his life as a student, son, and superhero. But before he can stop a new threat: a homicidal cyber-stalker named W.Z.R.D., he must first silence his inner demon.",2028-06-18,0.0,0,1.4955,/cQHTTX5zZTgUCnDXHKydqYcPZPi.jpg,,en,"16,28,18"
1748914,Ghosted,Ghosted,"After being Ghosted by the boy she is texting, Mavis decides to visit his house and finds out that not only was she Ghosted, but that he is also a Ghost.....",2028-06-16,0.0,0,0.6282,/iyiOWF1kUyz0VNjVfLxbt56jBjK.jpg,,en,"27,10749"
1327821,Incredibles 3,Incredibles 3,"Thanks to entrepreneur Winston Deaver, superheroes are legal again, ushering in a new era for the world’s supers. But while Dash and Violet secretly take to the streets at night to prove their worth, Bob finds himself facing a threat unlike any he’s encountered before—and questioning whether there’s still a place for him in a world that no longer seems to need Mr. Incredible.",2028-06-15,0.0,0,4.5277,/4pGPF8LuneSJKGnfgO70W3zHChF.jpg,/pZUWtObJ3wacsYlgIUUilIrDpZD.jpg,en,"16,28,12,878,10751"
1529259,The Flood,The Flood,"A deep-space exploration team aboard the Spiritus Mundi pick up a strange, recurring signal from a remote planet. Captain Elena Voss leads the mission to investigate, only to discover a bizarre alien artifact that starts warping time, reality, and the crew’s minds.",2028-06-10,0.0,0,0.6675,,,en,"27,878,53"
1615789,"The Wizard of the Emerald City, Part III",Волшебник Изумрудного города. Возвращение домой,"A continuation of the musical story ""The Wizard of Oz. Ellie and Her Friends."" Despite all the difficulties and adversity, the brave little girl Ellie achieved the impossible—defeated evil and returned home.",2028-06-01,0.0,0,2.0181,,,ru,"14,12,10751"
1654623,The Beast of Gevaudan 5,La Bête du Gévaudan 5,"plot tba, conclusion of the saga",2028-05-29,0.0,0,0.2968,,,en,
1504349,Lilo & Stitch 2,Lilo & Stitch 2,"The second instalment in the live-action adaptation franchise, now with Angel. Plot TBA.",2028-05-25,0.0,0,2.7435,/4AtxkITOlRUQaiVa3rS1OZvZLkA.jpg,,en,"10751,878,35"
1212489,The Resurrection of the Christ: Part Two,The Resurrection of the Christ: Part Two,The second part of a two-part sequel to The Passion of the Christ. Plot TBA.,2028-05-25,0.0,0,1.3818,/qx3QVH1eVqtrdvL1dndXPhCktLq.jpg,,en,18
1693028,My President,나의 대통령,,2028-05-23,0.0,0,0.2934,,,ko,"16,18,36"
1615504,Before the Silence,Before the Silence,"Three brothers uncover a dark secret in their bay, revealing their father’s violent past as family bonds fracture and danger closes in around them.",2028-05-19,0.0,0,0.3842,/sjIauzvI6o1wpQJj0fQau6z4B8J.jpg,/nuZTj5cpyBZASCKkPRdbgox7vZy.jpg,en,"18,27,80,53"
1736379,Agent Owen,Agent Owen,"After 20 years of a broken home, Evan Owen raised into a billionaire with his 3 friends, Miles, Julia, and Simon. At night, his father was kidnapped by a mysterious villain who stole the serum called RX-51 many years ago, Jessica Miller takes Owen to the Anti-Doom League to meet their boss, Daniel Lancebottom to have Owen as a case to be Undercover Spy to find the villain and stop the villain who is trying to rule the world.",2028-05-19,0.0,0,0.2638,/nNylNLKBGoGUcKU28AbRpdeGdEP.jpg,,en,"28,16,35,80,10751,9648,878"
1467853,Miami Vice '85,Miami Vice '85,Explores the glamour and corruption of mid-'80s Miami inspired by the pilot episode of Miami Vice. Plot TBA.,2028-05-18,0.0,0,2.2989,,,en,"80,18,53"
1668254,La direction,La direction,,2028-05-17,0.0,0,0.2986,/exIxCOubyMnj2Kls5v19lUS4cmU.jpg,,fr,18
1732850,Charmed Lives: A Family Romance,Charmed Lives: A Family Romance,"Sir Alexander Korda, one of the world's most flamboyant movie tycoons, rose from obscurity in rural Hungary to become a legendary filmmaker. With him were his brothers, Zoltan and Vincent, all living charmed lives in circles that included Vivien Leigh, Sir Laurence Olivier, Marlene Dietrich, H.G. Wells and Merle Oberon, who was soon to be Alex's wife. But along with Alex's flair for success lies an equally powerful impulse for destruction.",2028-05-11,0.0,0,1.2252,/nOFytzcadK0N2jfyMh4E9coM96D.jpg,,en,99
1505252,Final Destination 7,Final Destination 7,The seventh installment in the Final Destination franchise. Plot TBA.,2028-05-11,0.0,0,1.1677,/pSyFYidTEa9mCyfXy5EWaPK9IxV.jpg,,en,"27,9648"
1739043,Cannibal Kitchen,Cannibal Kitchen,"After an accidental murder reverses the fortunes of a failing restaurant, an ambitious chef must turn to sinister methods to keep up with the increasing demand for his new mystery meat.",2028-05-08,0.0,0,2.8382,/miOaPCUBp0AzgwSLkeMNNqYXQFZ.jpg,,en,"27,35"
1293690,Untitled X-Men Film,Untitled X-Men Film,A film set in the Marvel Cinematic Universe (MCU) based on the Marvel Comics team. Plot TBA.,2028-05-05,0.0,0,10.5975,/jSn3jOzI91dOx4aVdfMrirWXH6R.jpg,/30avL0vOOqlbN5kODDZZHDwbkr8.jpg,en,"878,28,12"
1383155,Three of a kind,Trójka,"Three friends sign up for a poker match full of intensity, betrayal and dirty money",2028-05-01,0.0,0,0.3102,,,pl,18
1566914,The Silver Bandits,The Silver Bandits,"Two cowboys, both former outlaws, are forced to find their way home after their camp is raided by the Dust Devils. On their journey to a new camp in Arizona, they must evade both the law and the Dust Devils across Colorado.",2028-04-21,0.0,0,0.412,/uhLjwIbZx4UzxwplY2oR6KxDkk7.jpg,/wmPl2h0yHzxWxz9DFo0Dcmfuj17.jpg,en,"28,12,37"
1280608,Evil Dead Wrath,Evil Dead Wrath,"Plot TBA. A prequel to the first film, set in 1972.",2028-04-05,0.0,0,2.0946,/r10fSbmxDipJG6VOyt9nkX3zEbx.jpg,/xkDrNYTcQgq6TFnx5mfQapMXmPA.jpg,en,"27,53"
1247606,The Beatles: Ringo,The Beatles: Ringo,"One of four biopics, focusing on individual members of The Beatles, this one telling the story of the group from the perspective of Ringo Starr.",2028-04-05,0.0,0,1.4591,/ovDjgp1ZBDvLY3Yrh6s7qS8Zxgy.jpg,/puaTNjQQ1B0NHxlpez5Q63fweYI.jpg,en,"18,10402"
1247605,The Beatles: Paul,The Beatles: Paul,"One of four biopics, focusing on individual members of The Beatles, this one telling the story of the group from the perspective of Paul McCartney.",2028-04-05,0.0,0,2.1077,/cT39aUoRyitmhbB45w5UFKhBRIW.jpg,/haiHFupunCnY86sKpFYJgr8OsQr.jpg,en,"18,10402"
1247603,The Beatles: George,The Beatles: George,"One of four biopics, focusing on individual members of The Beatles, this one telling the story of the group from the perspective of George Harrison.",2028-04-05,0.0,0,2.0609,/8CYUp3jCSc86WvkLRGAQcepImeV.jpg,/tpO0FHe3aVPY5cvrduduUsiRfpQ.jpg,en,"18,10402"
1247601,The Beatles: John,The Beatles: John,"One of four biopics, focusing on individual members of The Beatles, this one telling the story of the group from the perspective of John Lennon.",2028-04-05,0.0,0,2.3558,/lx8XZ4HvfEZd82M2YuJUy6qNSUR.jpg,/eBvO13N6NrVZHHKJzW1yqK4YgnL.jpg,en,"18,10402"
1488743,The Chosen: Resurrection,The Chosen: Resurrection,The seventh season premiere of the popular Biblical television series following Jesus' crucifixion and His Resurrection will be theatrically released in 2028.,2028-03-31,0.0,0,0.6641,/x1gh7uyYkM7xevXLz0Ds7QTwWCq.jpg,,en,18
1559978,Tangled,Tangled,The live-action adaptation of Disney's Tangled. Plot TBA.,2028-03-31,0.0,0,3.8249,/jn6ZjmW2sMOZOjAckPCfkqxbuJm.jpg,,en,"12,14,10751,35"
762967,Поклонник,Поклонник,,2028-03-23,0.0,0,0.529,,,ru,
755679,Fast Forever,Fast Forever,The eleventh and final installment in The Fast Saga. Plot TBA.,2028-03-16,0.0,0,15.8605,/xaRzhQZ3zK5lN6vEetG8PD17KPF.jpg,,en,"28,80,53"
748865,"Oh, the Places You'll Go!","Oh, the Places You'll Go!","A globetrotting animated musical which follows a young adventurer as they journey the joys and heartaches, and the peaks and the valleys of life.",2028-03-16,0.0,0,0.8373,/vrWq8Yl2CPB6hvVfi8ppxOs0OII.jpg,/AhsnZVhIyaRSEuUBPLvmyxMCMlu.jpg,en,"16,10751,12,14"
1696624,The Creation of Blobs,The Creation of Blobs,"Fake animated documentary of the creation of colorful blobs, created way before dinosaurs and men. Plot TBA",2028-03-15,0.0,0,0.5866,/i3rzicrCtOe4WD2Irzyly2ZMkKs.jpg,,en,"16,99,35"
1647603,Ghost Market,Ghost Market,"Hidden away in a remote location on Oahu's North Shore is 'Ono Market, a plate lunch shop that serves lost spirits, stuck between life and death. The living have never set foot in this place - until a food-loving, would-be content creator named Kyle blunders in, eats a mixed plate for the dead, and accidentally turns himself into a half-ghost. To get back to normal, he'll have to deal with paranormal deliveries, long hours in a haunted kitchen, and scariest of all... his own family.",2028-03-10,0.0,0,3.5975,/yrArRw51BQMIy1y1z3w1XURA7V7.jpg,,en,"16,14,10751"
1263361,Sadko,Садко,,2028-03-08,0.0,0,0.9408,,,ru,14
1485839,Elden Ring,Elden Ring,"A live-action adaptation of the dark fantasy video game, set in the war-torn world of the Lands Between, which was once united by the Elden Ring. Plot details TBA.",2028-03-03,0.0,0,1.9382,/3ApvUAl0aw6TKKLkJH3IrEzPpIf.jpg,/z5bWoraiGsvioKTOKzSDd2TCohn.jpg,en,"14,28,12"
1655865,Bob Necromante,Bob Necromante,,2028-03-01,0.0,0,0.3419,,,pt,14
1637854,Alleen,Alleen,The final chapter in Kenny Philippe's trauma trilogy.,2028-02-18,0.0,0,0.9392,/4Mp5hkGugu93tIskGQcD3bIM4Bh.jpg,,nl,
1388496,Grandgear,Grandgear,Yamazaki’s first English language film. Plot TBA.,2028-02-17,0.0,0,1.0432,,,en,"28,12,878"
806704,The Batman: Part II,The Batman: Part II,Sequel to the 2022 film The Batman.,2028-02-17,0.0,0,5.6513,/caeBJHLNld1h14uvcLvzyHf3Rlk.jpg,/4uaHnYDDpUTj0nCg6YqBKab50YW.jpg,en,"9648,18,80"
1662286,Cinderella,Золушка,,2028-02-10,0.0,0,1.1603,/aYBjhEol7wj6C1H4SFgDEHkTOaY.jpg,,ru,
1625381,Heart Eyes 2,Heart Eyes 2,The sequel to the 2025 film. Plot TBA.,2028-02-10,0.0,0,0.7221,,,en,"27,10749"
1188748,"Murder, She Wrote","Murder, She Wrote",A feature adaptation of the classic TV series. Plot TBA.,2028-02-03,0.0,0,0.9812,,,en,"9648,80"
1634592,Endless Summer,Endless Summer,"As adulthood approaches, seven lifelong friends experience one final summer that will change their lives forever.",2028-01-28,0.0,0,1.6109,/AnRADhIh6Bi3ansXq662wGk4uav.jpg,,en,"18,10749,10402,53"
1278859,Woodwalkers 3,Woodwalkers 3,"Carag’s battle against Andrew Milling enters its decisive phase: After being elected governor, Milling uses his “day of reckoning” to carry out a smear campaign, sowing discord between humans, animals, and Woodwalkers—putting them all in danger. When Carag fails to convince either the Council or his family and friends to reveal the Woodwalkers’ greatest secret—their very existence—in order to expose Milling and bring about peace, he decides to single-handedly strip Milling of his ability to shapeshift, only to lose his own in the process. A race against time begins to save Clearwater High and stop Milling once and for all!",2028-01-27,0.0,0,1.0167,,,de,"14,10751,12"
1571245,Viva la Madness,Viva la Madness,A high-profile British drug dealer hides out in the Carribean waiting for the heat to die down from his last job and plotting his imminent return to London.,2028-01-21,0.0,0,1.9912,,,en,"53,80,28"
1625330,Das verrückte Labyrinth,Das verrückte Labyrinth,"17-year-old Lou can't stand Twitch streamer Nico, her mother Silvia's new boyfriend. When the cheeky goblin Zephyr is unwittingly freed from an ancient version of the board game “The Crazy Labyrinth” during a game night, the feuding duo embarks on a daring treasure hunt, where they must contend with dragons, a charming knight, and an impenetrable labyrinth.",2028-01-20,0.0,0,0.4805,,,de,"14,35,12"
890298,Night of The Abandoned City,Night of The Abandoned City,A spin-off from the Abandoned city movie focusing on the mysterious man and his son in the night of the Abandoned city,2028-01-20,0.0,0,0.4146,/HeTfejTAZPXuFyVNiHfOrcmxwH.jpg,,ar,27
