title,genre,description
Avatar,Action Sci-Fi,"A marine on an alien planet becomes torn between following his orders and protecting the world he feels is his home."
Titanic,Drama Romance,"A young woman from a wealthy family falls in love with a poor artist aboard a luxurious ship."
The Dark Knight,Action Crime Drama,"Batman faces a dangerous criminal mastermind who creates chaos and threatens the people of Gotham City."
Inception,Action Sci-Fi Thriller,"A skilled thief enters people's dreams to steal secrets and is given a difficult mission to plant an idea."
Interstellar,Adventure Drama Sci-Fi,"A group of astronauts travels through a wormhole in search of a new home for humanity."
Avengers Endgame,Action Adventure Sci-Fi,"The Avengers must work together to reverse the destruction caused by a powerful enemy."
Iron Man,Action Adventure Sci-Fi,"A billionaire inventor builds a powerful armored suit and becomes a superhero."
The Avengers,Action Adventure Sci-Fi,"A group of superheroes joins forces to stop an alien invasion and save the Earth."
Jurassic Park,Adventure Sci-Fi Thriller,"Scientists create a theme park filled with genetically engineered dinosaurs that escape and threaten visitors."
Jurassic World,Action Adventure Sci-Fi,"A dinosaur theme park becomes dangerous when a genetically modified dinosaur escapes."
Spider-Man,Action Adventure Sci-Fi,"A teenager gains spider-like abilities and learns to use his powers to protect people."
Spider-Man Homecoming,Action Adventure Comedy,"A young superhero tries to balance school life with his responsibilities as Spider-Man."
Doctor Strange,Action Adventure Fantasy,"A talented surgeon learns mystical arts after a serious accident changes his life."
Black Panther,Action Adventure Sci-Fi,"A young king returns home and must protect his technologically advanced African kingdom."
Guardians of the Galaxy,Action Adventure Comedy,"A group of unlikely heroes joins together to protect the galaxy from a powerful enemy."
Star Wars,Action Adventure Sci-Fi,"A young hero joins a rebellion against an evil empire and discovers a powerful connection to the Force."
The Matrix,Action Sci-Fi Thriller,"A computer programmer discovers that reality is a simulated world controlled by machines."
The Lord of the Rings,Adventure Fantasy Drama,"A young hobbit begins a dangerous journey to destroy a powerful magical ring."
Harry Potter,Adventure Fantasy,"A young wizard attends a magical school and discovers his destiny while fighting dark forces."
Pirates of the Caribbean,Action Adventure Fantasy,"A pirate and a young blacksmith join forces to rescue a kidnapped woman and fight supernatural pirates."
The Hunger Games,Action Adventure Sci-Fi,"A young woman volunteers to compete in a deadly competition where participants fight for survival."
The Maze Runner,Action Mystery Sci-Fi,"A teenager wakes up in a mysterious maze with no memory and joins others trying to escape."
Transformers,Action Sci-Fi,"Giant alien robots arrive on Earth and become involved in a battle between good and evil."
Mission Impossible,Action Adventure Thriller,"A skilled secret agent takes on dangerous missions involving espionage and international threats."
John Wick,Action Crime Thriller,"A retired assassin returns to his violent past after a personal tragedy."
Mad Max Fury Road,Action Adventure Sci-Fi,"A warrior and a group of survivors attempt to escape across a dangerous post-apocalyptic wasteland."
Gladiator,Action Drama,"A Roman general becomes a gladiator and seeks revenge against the emperor who betrayed him."
The Shawshank Redemption,Drama,"A man imprisoned for a crime he did not commit forms a friendship and maintains hope for freedom."
Forrest Gump,Drama Romance,"A kind-hearted man experiences important moments in American history while searching for his place in the world."
The Notebook,Drama Romance,"Two young lovers from different backgrounds struggle to keep their relationship alive."
La La Land,Drama Romance Music,"A musician and an aspiring actress fall in love while pursuing their dreams in Los Angeles."
The Social Network,Drama,"A young programmer creates a social networking website that grows into a global company."
The Wolf of Wall Street,Comedy Crime Drama,"A stockbroker rises to enormous wealth through aggressive and illegal business practices."
Toy Story,Animation Adventure Comedy,"Toys come to life when humans are not around and learn about friendship and loyalty."
Finding Nemo,Animation Adventure Comedy,"A father travels across the ocean to find his missing son and meets many sea creatures."
The Lion King,Animation Adventure Drama,"A young lion must overcome tragedy and accept his responsibility as king."
Frozen,Animation Adventure Comedy,"A young woman sets out to find her sister and discovers the power of love and family."
Moana,Animation Adventure Comedy,"A young girl sails across the ocean to save her island and restore the heart of a goddess."
Coco,Animation Adventure Fantasy,"A young boy enters the world of the dead and discovers his family's musical history."
Up,Animation Adventure Comedy,"An elderly man travels to South America in a flying house with a young scout."
Ratatouille,Animation Comedy,"A rat dreams of becoming a chef and secretly helps a young kitchen worker create amazing food."
